Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
Region,Arctic,None,Cumulative_Intensity,27.549,2.27e-9,2002,5.012,0.05,57.778,0.0039,11.527932960893855
Region,Temperate Northern Atlantic,None,Number_MHW_days,18.894,3.93e-10,2001,8.412,0.025,24.351,0.001,2.8947931526390867
Region,Temperate Northern Atlantic,None,Nevents,1.342,9.55e-10,2001,0.771,0.021,1.345,0.0019,1.7444876783398184
Region,Temperate Northern Atlantic,None,Mean_Intensity,0,0.99070403,1994,0.046,0.669,0.045,0.0553,0.9782608695652174
Region,Temperate Northern Atlantic,None,Maximum_Intensity,0.076,0.006181537,2005,-0.083,0.097,0.136,0.0435,-1.6385542168674698
Region,Temperate Northern Atlantic,None,Cumulative_Intensity,34.519,2.92e-10,2001,13.577,0.01,48.149,8e-4,3.546365176401267
Region,Temperate Northern Pacific,None,Number_MHW_days,13.161,5.22e-6,2002,6.224,0.11,31.1,0.0644,4.996786632390745
Region,Temperate Northern Pacific,None,Nevents,0.903,5.84e-6,2002,0.591,0.085,1.42,0.041,2.4027072758037225
Region,Temperate Northern Pacific,None,Mean_Intensity,0.078,1.68e-4,1997,-0.002,1,0.033,0.3153,-16.5
Region,Temperate Northern Pacific,None,Maximum_Intensity,0.178,2.12e-6,1997,0.004,1,0.16,0.0125,40
Region,Temperate Northern Pacific,None,Cumulative_Intensity,26.72,6.53e-7,2002,13.474,0.057,66.877,0.0179,4.963411013804364
