Year,Season,REALM,Metrics,values
1983,Summer,Tropical Eastern Pacific,meanCumInt,72.5966425170068
1983,Summer,Tropical Eastern Pacific,meanMaxInt,2.4115857142857142
1983,Summer,Tropical Eastern Pacific,meanDuration,31.452380952380953
1983,Summer,Tropical Eastern Pacific,Number_Events,294
1983,Summer,Western Indo-Pacific,meanCumInt,14.831187605633803
1983,Summer,Western Indo-Pacific,meanMaxInt,1.8255924882629109
1983,Summer,Western Indo-Pacific,meanDuration,10.143661971830985
1983,Summer,Western Indo-Pacific,Number_Events,1065
1983,Winter,Arctic,meanCumInt,3.5034390483109337
1983,Winter,Arctic,meanMaxInt,0.32798289139120956
1983,Winter,Arctic,meanDuration,14.243370868143844
1983,Winter,Arctic,Number_Events,2753
1983,Winter,Central Indo-Pacific,meanCumInt,9.006042314990513
1983,Winter,Central Indo-Pacific,meanMaxInt,1.4860022770398482
1983,Winter,Central Indo-Pacific,meanDuration,7.214421252371917
1983,Winter,Central Indo-Pacific,Number_Events,527
1983,Winter,Eastern Indo-Pacific,meanCumInt,23.032982352941175
1983,Winter,Eastern Indo-Pacific,meanMaxInt,1.6272941176470588
1983,Winter,Eastern Indo-Pacific,meanDuration,12.882352941176471
1983,Winter,Eastern Indo-Pacific,Number_Events,17
1983,Winter,Southern Ocean,meanCumInt,1.6095584686774942
1983,Winter,Southern Ocean,meanMaxInt,0.13432080433101315
1983,Winter,Southern Ocean,meanDuration,13.614849187935034
1983,Winter,Southern Ocean,Number_Events,1293
1983,Winter,Temperate Australasia,meanCumInt,10.933387155963302
1983,Winter,Temperate Australasia,meanMaxInt,1.4767238532110092
1983,Winter,Temperate Australasia,meanDuration,8.990825688073395
1983,Winter,Temperate Australasia,Number_Events,109
1983,Winter,Temperate Northern Atlantic,meanCumInt,16.789541987829615
1983,Winter,Temperate Northern Atlantic,meanMaxInt,1.8565368154158215
1983,Winter,Temperate Northern Atlantic,meanDuration,10.441176470588236
1983,Winter,Temperate Northern Atlantic,Number_Events,986
1983,Winter,Temperate Northern Pacific,meanCumInt,23.225700762527232
1983,Winter,Temperate Northern Pacific,meanMaxInt,2.002243246187364
1983,Winter,Temperate Northern Pacific,meanDuration,12.79847494553377
1983,Winter,Temperate Northern Pacific,Number_Events,918
1983,Winter,Temperate South America,meanCumInt,48.39603475935829
1983,Winter,Temperate South America,meanMaxInt,1.8665786096256685
1983,Winter,Temperate South America,meanDuration,18.524064171122994
1983,Winter,Temperate South America,Number_Events,187
1983,Winter,Temperate Southern Africa,meanCumInt,8.366405
1983,Winter,Temperate Southern Africa,meanMaxInt,1.48347
1983,Winter,Temperate Southern Africa,meanDuration,7
1983,Winter,Temperate Southern Africa,Number_Events,20
1983,Winter,Tropical Atlantic,meanCumInt,13.131182202111614
1983,Winter,Tropical Atlantic,meanMaxInt,1.6019867269984918
1983,Winter,Tropical Atlantic,meanDuration,10.47209653092006
1983,Winter,Tropical Atlantic,Number_Events,663
1983,Winter,Tropical Eastern Pacific,meanCumInt,123.81097150259068
1983,Winter,Tropical Eastern Pacific,meanMaxInt,2.941576165803109
1983,Winter,Tropical Eastern Pacific,meanDuration,38.18652849740933
1983,Winter,Tropical Eastern Pacific,Number_Events,193
1983,Winter,Western Indo-Pacific,meanCumInt,12.09380106571936
1983,Winter,Western Indo-Pacific,meanMaxInt,1.384586678507993
1983,Winter,Western Indo-Pacific,meanDuration,10.564831261101244
1983,Winter,Western Indo-Pacific,Number_Events,563
1984,Autumn,Arctic,meanCumInt,10.847666574330564
1984,Autumn,Arctic,meanMaxInt,1.2935429362880886
1984,Autumn,Arctic,meanDuration,13.545244690674053
1984,Autumn,Arctic,Number_Events,2166
1984,Autumn,Central Indo-Pacific,meanCumInt,8.854945927903872
1984,Autumn,Central Indo-Pacific,meanMaxInt,1.503484779706275
1984,Autumn,Central Indo-Pacific,meanDuration,6.986648865153538
1984,Autumn,Central Indo-Pacific,Number_Events,749
1984,Autumn,Eastern Indo-Pacific,meanCumInt,7.729775816993464
1984,Autumn,Eastern Indo-Pacific,meanMaxInt,1.3062385620915034
1984,Autumn,Eastern Indo-Pacific,meanDuration,7.3202614379084965
1984,Autumn,Eastern Indo-Pacific,Number_Events,153
1984,Autumn,Southern Ocean,meanCumInt,2.993177608915907
1984,Autumn,Southern Ocean,meanMaxInt,0.3343256332320162
1984,Autumn,Southern Ocean,meanDuration,13.434650455927052
1984,Autumn,Southern Ocean,Number_Events,987
1984,Autumn,Temperate Australasia,meanCumInt,15.464825609756097
1984,Autumn,Temperate Australasia,meanMaxInt,1.901279268292683
1984,Autumn,Temperate Australasia,meanDuration,9.439024390243903
1984,Autumn,Temperate Australasia,Number_Events,82
1984,Autumn,Temperate Northern Atlantic,meanCumInt,20.371716666666668
1984,Autumn,Temperate Northern Atlantic,meanMaxInt,2.3761044176706827
1984,Autumn,Temperate Northern Atlantic,meanDuration,10.152610441767068
1984,Autumn,Temperate Northern Atlantic,Number_Events,498
1984,Autumn,Temperate Northern Pacific,meanCumInt,16.4413878828229
1984,Autumn,Temperate Northern Pacific,meanMaxInt,1.909899067909454
1984,Autumn,Temperate Northern Pacific,meanDuration,9.884154460719042
1984,Autumn,Temperate Northern Pacific,Number_Events,751
1984,Autumn,Temperate South America,meanCumInt,10.924329896907217
1984,Autumn,Temperate South America,meanMaxInt,1.660056701030928
1984,Autumn,Temperate South America,meanDuration,7.783505154639175
1984,Autumn,Temperate South America,Number_Events,97
1984,Autumn,Temperate Southern Africa,meanCumInt,38.941430555555556
1984,Autumn,Temperate Southern Africa,meanMaxInt,3.375061111111111
1984,Autumn,Temperate Southern Africa,meanDuration,13.63888888888889
1984,Autumn,Temperate Southern Africa,Number_Events,36
1984,Autumn,Tropical Atlantic,meanCumInt,14.130373015873015
1984,Autumn,Tropical Atlantic,meanMaxInt,1.8436150793650794
1984,Autumn,Tropical Atlantic,meanDuration,8.76984126984127
1984,Autumn,Tropical Atlantic,Number_Events,126
1984,Autumn,Tropical Eastern Pacific,meanCumInt,8.420066666666667
1984,Autumn,Tropical Eastern Pacific,meanMaxInt,1.7544555555555557
1984,Autumn,Tropical Eastern Pacific,meanDuration,5.666666666666667
1984,Autumn,Tropical Eastern Pacific,Number_Events,9
1984,Autumn,Western Indo-Pacific,meanCumInt,8.22468901734104
1984,Autumn,Western Indo-Pacific,meanMaxInt,1.4681381502890174
1984,Autumn,Western Indo-Pacific,meanDuration,6.745664739884393
1984,Autumn,Western Indo-Pacific,Number_Events,173
1984,Spring,Arctic,meanCumInt,5.941706824925816
1984,Spring,Arctic,meanMaxInt,0.5931391320474777
1984,Spring,Arctic,meanDuration,13.531899109792285
1984,Spring,Arctic,Number_Events,2696
1984,Spring,Central Indo-Pacific,meanCumInt,9.877204108108108
1984,Spring,Central Indo-Pacific,meanMaxInt,1.5717287567567568
1984,Spring,Central Indo-Pacific,meanDuration,7.494054054054054
1984,Spring,Central Indo-Pacific,Number_Events,925
1984,Spring,Eastern Indo-Pacific,meanCumInt,12.031259405940594
1984,Spring,Eastern Indo-Pacific,meanMaxInt,1.5639722772277227
1984,Spring,Eastern Indo-Pacific,meanDuration,10
1984,Spring,Eastern Indo-Pacific,Number_Events,101
1984,Spring,Southern Ocean,meanCumInt,2.404821373200443
1984,Spring,Southern Ocean,meanMaxInt,0.1837498338870432
1984,Spring,Southern Ocean,meanDuration,15.269102990033222
1984,Spring,Southern Ocean,Number_Events,903
1984,Spring,Temperate Australasia,meanCumInt,13.929485281385281
1984,Spring,Temperate Australasia,meanMaxInt,1.7521571428571427
1984,Spring,Temperate Australasia,meanDuration,9.857142857142858
1984,Spring,Temperate Australasia,Number_Events,231
1984,Spring,Temperate Northern Atlantic,meanCumInt,14.983711764705882
1984,Spring,Temperate Northern Atlantic,meanMaxInt,2.285563321799308
1984,Spring,Temperate Northern Atlantic,meanDuration,7.8166089965397925
1984,Spring,Temperate Northern Atlantic,Number_Events,289
1984,Spring,Temperate Northern Pacific,meanCumInt,15.661179720279721
1984,Spring,Temperate Northern Pacific,meanMaxInt,2.044378181818182
1984,Spring,Temperate Northern Pacific,meanDuration,9.137062937062938
1984,Spring,Temperate Northern Pacific,Number_Events,715
1984,Spring,Temperate South America,meanCumInt,11.765817293233082
1984,Spring,Temperate South America,meanMaxInt,1.7401518796992481
1984,Spring,Temperate South America,meanDuration,8.105263157894736
1984,Spring,Temperate South America,Number_Events,133
1984,Spring,Temperate Southern Africa,meanCumInt,10.15955
1984,Spring,Temperate Southern Africa,meanMaxInt,1.8618
1984,Spring,Temperate Southern Africa,meanDuration,7
1984,Spring,Temperate Southern Africa,Number_Events,12
1984,Spring,Tropical Atlantic,meanCumInt,11.247961923076923
1984,Spring,Tropical Atlantic,meanMaxInt,1.6270773076923077
1984,Spring,Tropical Atlantic,meanDuration,7.9884615384615385
1984,Spring,Tropical Atlantic,Number_Events,260
1984,Spring,Tropical Eastern Pacific,meanCumInt,13.641605555555556
